Sample_ID,Year,Watershed,Plot,Horizon,OM_TM,OM_OM,OM_LOI
1997-6-70-Oie,1997,6,70,Oie,4.32,2.33,53.95
1997-6-72-Oa,1997,6,72,Oa,3.99,1.87,46.76
1997-6-72-Oie,1997,6,72,Oie,2.63,2.41,91.62
1997-6-74-Oa,1997,6,74,Oa,0.00,0.00,-9999.99
1997-6-74-Oie,1997,6,74,Oie,3.65,2.16,59.23
1997-6-75-Oa,1997,6,75,Oa,0.00,0.00,-9999.99
1997-6-75-Oie,1997,6,75,Oie,3.35,2.44,72.91
1997-6-77-Oa,1997,6,77,Oa,4.17,2.15,51.46
1997-6-77-Oie,1997,6,77,Oie,3.28,2.98,90.93
1997-6-7-Oa,1997,6,7,Oa,5.05,1.87,36.94
1997-6-7-Oie,1997,6,7,Oie,1.41,1.20,85.1
1997-6-80-Oa,1997,6,80,Oa,6.81,3.09,45.37
1997-6-80-Oie,1997,6,80,Oie,2.51,2.15,85.67
1997-6-83-Oa,1997,6,83,Oa,0.82,0.73,89.7
1997-6-83-Oie,1997,6,83,Oie,1.94,1.78,91.37
1997-6-87-Oa,1997,6,87,Oa,4.70,2.14,45.48
1997-6-87-Oie,1997,6,87,Oie,3.65,3.31,90.77
1997-6-89-Oa,1997,6,89,Oa,1.26,0.74,58.39
1997-6-89-Oie,1997,6,89,Oie,1.82,1.52,83.14
1997-6-92-Oa,1997,6,92,Oa,3.27,0.80,24.53
1997-6-92-Oie,1997,6,92,Oie,1.72,1.30,75.64
1997-6-96-Oa,1997,6,96,Oa,0.00,0.00,-9999.99
1997-6-96-Oie,1997,6,96,Oie,1.74,1.67,95.97
1997-6-98-Oa,1997,6,98,Oa,21.11,7.33,34.73
1997-6-98-Oie,1997,6,98,Oie,1.75,1.56,89.42
1997-6-99-Oa,1997,6,99,Oa,5.38,1.43,26.61
1997-6-99-Oie,1997,6,99,Oie,4.34,4.06,93.48
1997-6-9-Oa,1997,6,9,Oa,26.39,13.56,51.38
1997-6-9-Oie,1997,6,9,Oie,5.47,5.32,97.19
2002-6-100-Oa,2002,6,100,Oa,15.43,7.74,50.14
2002-6-100-Oie,2002,6,100,Oie,3.65,3.34,91.57
2002-6-102-Oa,2002,6,102,Oa,2.16,1.60,74.02
2002-6-102-Oie,2002,6,102,Oie,2.24,1.97,87.93
2002-6-103-Oa,2002,6,103,Oa,0.00,0.00,-9999.99
2002-6-103-Oie,2002,6,103,Oie,3.33,2.49,74.72
2002-6-107-Oa,2002,6,107,Oa,8.88,3.83,43.14
2002-6-107-Oie,2002,6,107,Oie,4.50,3.83,85.22
2002-6-10-Oa,2002,6,10,Oa,0.00,0.00,-9999.99
2002-6-10-Oie,2002,6,10,Oie,5.40,3.21,59.48
2002-6-110-Oa,2002,6,110,Oa,1.54,0.75,48.88
2002-6-110-Oie,2002,6,110,Oie,4.00,3.21,80.23
2002-6-111-Oa,2002,6,111,Oa,6.86,4.95,72.19
2002-6-111-Oie,2002,6,111,Oie,2.35,2.18,92.93
2002-6-114-Oa,2002,6,114,Oa,4.85,2.58,53.21
2002-6-114-Oie,2002,6,114,Oie,2.03,1.82,89.58
2002-6-118-Oa,2002,6,118,Oa,11.38,3.91,34.41
2002-6-118-Oie,2002,6,118,Oie,1.96,1.66,84.71
2002-6-120-Oa,2002,6,120,Oa,9.85,4.24,43.06
2002-6-120-Oie,2002,6,120,Oie,3.62,3.12,86.18
2002-6-121-Oa,2002,6,121,Oa,9.04,2.08,23.01
2002-6-121-Oie,2002,6,121,Oie,1.05,0.82,77.97
2002-6-125-Oa,2002,6,125,Oa,2.30,0.82,35.72
2002-6-125-Oie,2002,6,125,Oie,2.63,1.57,59.7
2002-6-128-Oa,2002,6,128,Oa,4.13,2.25,54.47
2002-6-128-Oie,2002,6,128,Oie,1.03,0.92,89.64
2002-6-129-Oa,2002,6,129,Oa,12.05,8.04,66.79
2002-6-129-Oie,2002,6,129,Oie,4.21,3.90,92.84
2002-6-12-Oa,2002,6,12,Oa,8.34,3.62,43.35
2002-6-12-Oie,2002,6,12,Oie,2.36,1.84,77.78
2002-6-130-Oa,2002,6,130,Oa,12.81,4.29,33.51
2002-6-130-Oie,2002,6,130,Oie,2.56,2.27,88.66
2002-6-131-Oa,2002,6,131,Oa,17.39,14.35,82.49
2002-6-131-Oie,2002,6,131,Oie,5.28,4.81,91.02
2002-6-132-Oa,2002,6,132,Oa,24.71,14.93,60.41
2002-6-132-Oie,2002,6,132,Oie,4.77,3.93,82.28
2002-6-135-Oa,2002,6,135,Oa,4.18,2.17,51.92
2002-6-135-Oie,2002,6,135,Oie,5.31,4.13,77.76
2002-6-139-Oa,2002,6,139,Oa,9.00,2.14,23.77
2002-6-139-Oie,2002,6,139,Oie,2.10,1.53,72.93
2002-6-140-Oa,2002,6,140,Oa,9.80,7.01,71.61
2002-6-140-Oie,2002,6,140,Oie,2.57,2.35,91.28
2002-6-141-Oa,2002,6,141,Oa,4.80,2.17,45.17
2002-6-141-Oie,2002,6,141,Oie,1.88,1.57,83.4
2002-6-144-Oa,2002,6,144,Oa,13.33,2.80,21.03
2002-6-144-Oie,2002,6,144,Oie,2.58,2.14,83.12
2002-6-145-Oa,2002,6,145,Oa,0.00,0.00,-9999.99
2002-6-145-Oie,2002,6,145,Oie,3.45,2.83,81.85
2002-6-148-Oa,2002,6,148,Oa,6.57,1.87,28.48
2002-6-148-Oie,2002,6,148,Oie,4.87,4.21,86.36
2002-6-149-Oa,2002,6,149,Oa,0.00,0.00,-9999.99
2002-6-149-Oie,2002,6,149,Oie,2.75,2.32,84.68
2002-6-153-Oa,2002,6,153,Oa,8.32,3.33,40.04
2002-6-153-Oie,2002,6,153,Oie,2.39,2.08,87.39
2002-6-156-Oa,2002,6,156,Oa,12.02,2.65,22.05
2002-6-156-Oie,2002,6,156,Oie,2.37,2.17,91.46
2002-6-157-Oa,2002,6,157,Oa,3.47,2.33,67.27
2002-6-157-Oie,2002,6,157,Oie,6.81,5.57,81.79
2002-6-160-Oa,2002,6,160,Oa,18.45,9.26,50.2
2002-6-160-Oie,2002,6,160,Oie,4.03,3.43,85.07
2002-6-161-Oa,2002,6,161,Oa,0.00,0.00,-9999.99
2002-6-161-Oie,2002,6,161,Oie,4.92,2.75,55.81
2002-6-162-Oa,2002,6,162,Oa,15.31,12.36,80.74
2002-6-162-Oie,2002,6,162,Oie,4.09,3.72,90.98
2002-6-164-Oa,2002,6,164,Oa,5.78,3.54,61.35
2002-6-164-Oie,2002,6,164,Oie,2.47,2.23,90.11
2002-6-165-Oa,2002,6,165,Oa,9.85,5.93,60.2
2002-6-165-Oie,2002,6,165,Oie,2.17,1.97,90.88
2002-6-166-Oa,2002,6,166,Oa,8.96,3.86,43.06
2002-6-166-Oie,2002,6,166,Oie,3.48,2.58,74.1
2002-6-168-Oa,2002,6,168,Oa,15.99,6.46,40.4
2002-6-168-Oie,2002,6,168,Oie,2.31,1.86,80.69
2002-6-169-Oa,2002,6,169,Oa,6.22,1.92,30.88
2002-6-169-Oie,2002,6,169,Oie,2.50,2.19,87.57
2002-6-16-Oa,2002,6,16,Oa,3.60,2.20,61.08
2002-6-16-Oie,2002,6,16,Oie,2.76,2.53,91.49
2002-6-171-Oa,2002,6,171,Oa,3.55,1.43,40.33
2002-6-171-Oie,2002,6,171,Oie,2.78,2.31,82.97
2002-6-173-Oa,2002,6,173,Oa,5.15,3.40,65.92
2002-6-173-Oie,2002,6,173,Oie,2.84,2.52,88.52
2002-6-175-Oa,2002,6,175,Oa,10.24,2.12,20.67
2002-6-175-Oie,2002,6,175,Oie,3.06,2.00,65.27
2002-6-176-Oa,2002,6,176,Oa,5.92,4.29,72.51
2002-6-176-Oie,2002,6,176,Oie,2.70,2.43,89.96
2002-6-177-Oa,2002,6,177,Oa,5.01,1.10,21.88
2002-6-177-Oie,2002,6,177,Oie,1.28,0.79,61.93
2002-6-179-Oa,2002,6,179,Oa,11.53,8.78,76.14
2002-6-179-Oie,2002,6,179,Oie,1.14,1.01,89.22
2002-6-180-Oa,2002,6,180,Oa,5.23,3.19,60.96
2002-6-180-Oie,2002,6,180,Oie,2.26,2.03,89.65
2002-6-182-Oa,2002,6,182,Oa,1.02,0.29,28.4
2002-6-182-Oie,2002,6,182,Oie,1.99,1.20,60.04
2002-6-183-Oa,2002,6,183,Oa,50.49,30.55,60.51
2002-6-183-Oie,2002,6,183,Oie,3.76,3.26,86.71
2002-6-185-Oa,2002,6,185,Oa,9.30,7.54,81.01
2002-6-185-Oie,2002,6,185,Oie,2.96,2.78,93.69
2002-6-186-Oa,2002,6,186,Oa,3.81,1.44,37.87
2002-6-186-Oie,2002,6,186,Oie,3.04,2.65,86.94
2002-6-189-Oa,2002,6,189,Oa,9.43,7.61,80.72
2002-6-189-Oie,2002,6,189,Oie,4.83,4.46,92.39
2002-6-190-Oa,2002,6,190,Oa,0.00,0.00,-9999.99
2002-6-190-Oie,2002,6,190,Oie,3.57,2.41,67.46
2002-6-193-Oa,2002,6,193,Oa,0.00,0.00,-9999.99
2002-6-193-Oie,2002,6,193,Oie,2.33,1.88,80.58
2002-6-194-Oa,2002,6,194,Oa,0.00,0.00,-9999.99
2002-6-194-Oie,2002,6,194,Oie,12.93,3.89,30.1
2002-6-195-Oa,2002,6,195,Oa,3.12,1.43,45.89
2002-6-195-Oie,2002,6,195,Oie,2.56,2.14,83.67
2002-6-196-Oa,2002,6,196,Oa,8.98,6.58,73.24
2002-6-196-Oie,2002,6,196,Oie,3.12,2.88,92.32
2002-6-198-Oa,2002,6,198,Oa,6.95,2.78,39.94
2002-6-198-Oie,2002,6,198,Oie,3.16,2.77,87.69
2002-6-1-Oa,2002,6,1,Oa,8.14,4.46,54.87
2002-6-1-Oie,2002,6,1,Oie,2.04,1.93,94.56
2002-6-200-Oa,2002,6,200,Oa,16.81,11.09,65.99
2002-6-200-Oie,2002,6,200,Oie,6.33,5.91,93.42
2002-6-201-Oa,2002,6,201,Oa,0.00,0.00,-9999.99
2002-6-201-Oie,2002,6,201,Oie,7.10,5.70,80.33
2002-6-203-Oa,2002,6,203,Oa,10.75,6.72,62.49
2002-6-203-Oie,2002,6,203,Oie,3.65,3.21,87.86
2002-6-204-Oa,2002,6,204,Oa,3.86,2.46,63.93
2002-6-204-Oie,2002,6,204,Oie,1.63,1.47,90.16
2002-6-205-Oa,2002,6,205,Oa,1.07,0.71,65.85
2002-6-205-Oie,2002,6,205,Oie,4.89,4.45,90.97
2002-6-207-Oa,2002,6,207,Oa,8.15,6.02,73.92
2002-6-207-Oie,2002,6,207,Oie,2.57,2.27,88.47
2002-6-208-Oa,2002,6,208,Oa,2.74,1.13,41.3
2002-6-208-Oie,2002,6,208,Oie,3.04,2.48,81.65
2002-6-20-Oa,2002,6,20,Oa,9.37,5.11,54.47
2002-6-20-Oie,2002,6,20,Oie,2.82,2.64,93.59
2002-6-22-Oa,2002,6,22,Oa,31.48,28.54,90.65
2002-6-22-Oie,2002,6,22,Oie,3.97,3.61,91.05
2002-6-23-Oa,2002,6,23,Oa,11.28,6.72,59.59
2002-6-23-Oie,2002,6,23,Oie,5.18,5.02,96.85
2002-6-27-Oa,2002,6,27,Oa,0.00,0.00,-9999.99
2002-6-27-Oie,2002,6,27,Oie,2.56,2.01,78.46
2002-6-30-Oa,2002,6,30,Oa,5.29,3.46,65.38
2002-6-30-Oie,2002,6,30,Oie,1.17,1.08,92.26
2002-6-33-Oa,2002,6,33,Oa,7.93,7.39,93.23
2002-6-33-Oie,2002,6,33,Oie,7.38,7.12,96.51
2002-6-34-Oa,2002,6,34,Oa,4.09,2.91,71.16
2002-6-34-Oie,2002,6,34,Oie,4.78,4.44,92.84
2002-6-35-Oa,2002,6,35,Oa,12.01,6.63,55.22
2002-6-35-Oie,2002,6,35,Oie,2.42,2.27,93.89
2002-6-41-Oa,2002,6,41,Oa,17.18,5.81,33.85
2002-6-41-Oie,2002,6,41,Oie,2.64,2.28,86.45
2002-6-44-Oa,2002,6,44,Oa,0.00,0.00,-9999.99
2002-6-44-Oie,2002,6,44,Oie,4.28,3.02,70.62
2002-6-46-Oa,2002,6,46,Oa,26.30,10.32,39.25
2002-6-46-Oie,2002,6,46,Oie,2.44,2.21,90.5
2002-6-47-Oa,2002,6,47,Oa,1.92,0.99,51.8
2002-6-47-Oie,2002,6,47,Oie,4.18,3.79,90.65
2002-6-4-Oa,2002,6,4,Oa,10.58,4.79,45.31
2002-6-4-Oie,2002,6,4,Oie,3.39,3.12,92.06
2002-6-50-Oa,2002,6,50,Oa,1.75,0.61,34.75
2002-6-50-Oie,2002,6,50,Oie,3.47,1.89,54.51
2002-6-52-Oa,2002,6,52,Oa,11.97,2.75,22.93
2002-6-52-Oie,2002,6,52,Oie,1.84,1.58,86.17
2002-6-55-Oa,2002,6,55,Oa,3.54,2.00,56.47
2002-6-55-Oie,2002,6,55,Oie,1.59,1.45,91.25
2002-6-57-Oa,2002,6,57,Oa,22.26,11.75,52.77
2002-6-57-Oie,2002,6,57,Oie,4.62,4.09,88.54
2002-6-58-Oa,2002,6,58,Oa,8.64,2.54,29.46
2002-6-58-Oie,2002,6,58,Oie,2.89,2.33,80.52
2002-6-61-Oa,2002,6,61,Oa,14.44,8.30,57.5
2002-6-61-Oie,2002,6,61,Oie,4.59,3.22,70.11
2002-6-63-Oa,2002,6,63,Oa,3.18,1.52,47.83
2002-6-63-Oie,2002,6,63,Oie,2.05,1.63,79.55
2002-6-66-Oa,2002,6,66,Oa,15.60,5.12,32.84
2002-6-66-Oie,2002,6,66,Oie,2.83,1.76,62.39
2002-6-6-Oa,2002,6,6,Oa,0.00,0.00,-9999.99
2002-6-6-Oie,2002,6,6,Oie,2.92,2.27,77.61
2002-6-72-Oa,2002,6,72,Oa,5.63,3.32,59
2002-6-72-Oie,2002,6,72,Oie,2.53,2.20,86.75
2002-6-74-Oa,2002,6,74,Oa,1.51,1.14,75.32
2002-6-74-Oie,2002,6,74,Oie,1.78,1.53,86.05
2002-6-77-Oa,2002,6,77,Oa,6.01,2.16,36
2002-6-77-Oie,2002,6,77,Oie,9.99,8.11,81.14
2002-6-78-Oa,2002,6,78,Oa,14.39,7.62,52.99
2002-6-78-Oie,2002,6,78,Oie,3.38,2.96,87.49
2002-6-81-Oa,2002,6,81,Oa,6.33,3.95,62.43
2002-6-81-Oie,2002,6,81,Oie,2.26,2.08,92.05
2002-6-84-Oa,2002,6,84,Oa,12.25,3.69,30.14
2002-6-84-Oie,2002,6,84,Oie,2.77,2.36,85.22
2002-6-88-Oa,2002,6,88,Oa,0.98,0.54,55.34
2002-6-88-Oie,2002,6,88,Oie,3.62,3.17,87.63
2002-6-8-Oa,2002,6,8,Oa,8.14,5.62,69.09
2002-6-8-Oie,2002,6,8,Oie,4.23,4.04,95.49
2002-6-91-Oa,2002,6,91,Oa,0.00,0.00,-9999.99
2002-6-91-Oie,2002,6,91,Oie,4.30,3.69,85.75
2002-6-93-Oa,2002,6,93,Oa,0.00,0.00,-9999.99
2002-6-93-Oie,2002,6,93,Oie,3.83,1.38,35.98
2002-6-94-Oa,2002,6,94,Oa,2.23,1.26,56.59
2002-6-94-Oie,2002,6,94,Oie,1.90,1.66,87.41
2002-6-96-Oa,2002,6,96,Oa,0.00,0.00,-9999.99
2002-6-96-Oie,2002,6,96,Oie,1.87,1.04,55.42
2002-6-97-Oa,2002,6,97,Oa,1.76,1.07,60.93
2002-6-97-Oie,2002,6,97,Oie,4.01,3.32,82.73
2002-6-9-Oa,2002,6,9,Oa,7.97,5.01,62.92
2002-6-9-Oie,2002,6,9,Oie,2.97,2.85,95.92
2013-6-108-min,2013,6,108,min,26.86,4.30,15.99
2013-6-108-Oa,2013,6,108,Oa,2.95,1.48,50
2013-6-108-Oie,2013,6,108,Oie,4.98,4.40,88.34
2013-6-109-min,2013,6,109,min,43.31,4.73,10.92
2013-6-109-Oa,2013,6,109,Oa,0.00,0.00,-9999.99
2013-6-109-Oie,2013,6,109,Oie,3.87,3.24,83.67
2013-6-10-min,2013,6,10,min,38.56,4.17,10.81
2013-6-10-Oa,2013,6,10,Oa,0.32,0.21,67.07
2013-6-10-Oie,2013,6,10,Oie,3.13,2.70,86.34
2013-6-111-min,2013,6,111,min,40.31,3.01,7.46
2013-6-111-Oa,2013,6,111,Oa,18.19,3.31,18.22
2013-6-111-Oie,2013,6,111,Oie,0.84,0.61,71.99
2013-6-112-min,2013,6,112,min,21.42,6.33,29.56
2013-6-112-Oa,2013,6,112,Oa,7.56,2.81,37.18
2013-6-112-Oie,2013,6,112,Oie,2.54,2.24,88.34
2013-6-114-min,2013,6,114,min,53.37,6.97,13.06
2013-6-114-Oa,2013,6,114,Oa,2.61,0.65,24.95
2013-6-114-Oie,2013,6,114,Oie,2.96,1.22,41.15
2013-6-123-min,2013,6,123,min,34.26,3.19,9.3
2013-6-123-Oa,2013,6,123,Oa,8.21,2.65,32.33
2013-6-123-Oie,2013,6,123,Oie,1.49,1.12,75.16
2013-6-127-min,2013,6,127,min,38.86,5.66,14.56
2013-6-127-Oa,2013,6,127,Oa,2.04,0.92,45.19
2013-6-127-Oie,2013,6,127,Oie,5.49,3.88,70.67
2013-6-12-min,2013,6,12,min,58.47,4.13,7.06
2013-6-12-Oa,2013,6,12,Oa,16.56,6.23,37.62
2013-6-12-Oie,2013,6,12,Oie,2.52,2.15,85.24
2013-6-130-min,2013,6,130,min,27.47,3.68,13.39
2013-6-130-Oa,2013,6,130,Oa,8.06,3.32,41.22
2013-6-130-Oie,2013,6,130,Oie,2.79,2.42,86.72
2013-6-131-min,2013,6,131,min,9.12,4.81,52.77
2013-6-131-Oa,2013,6,131,Oa,1.38,0.92,66.48
2013-6-131-Oie,2013,6,131,Oie,6.20,4.80,77.35
2013-6-134-min,2013,6,134,min,20.30,3.87,19.05
2013-6-134-Oa,2013,6,134,Oa,9.83,3.73,37.9
2013-6-134-Oie,2013,6,134,Oie,2.56,2.24,87.71
2013-6-138-min,2013,6,138,min,54.81,6.83,12.46
2013-6-138-Oa,2013,6,138,Oa,0.00,0.00,-9999.99
2013-6-138-Oie,2013,6,138,Oie,0.37,0.17,45.51
2013-6-13-min,2013,6,13,min,54.19,2.40,4.42
2013-6-13-Oa,2013,6,13,Oa,4.44,2.91,65.56
2013-6-13-Oie,2013,6,13,Oie,2.14,2.00,93.73
2013-6-141-min,2013,6,141,min,3.84,0.28,7.18
2013-6-141-Oa,2013,6,141,Oa,0.00,0.00,-9999.99
2013-6-141-Oie,2013,6,141,Oie,2.92,2.43,83.46
2013-6-147-min,2013,6,147,min,36.60,5.16,14.1
2013-6-147-Oa,2013,6,147,Oa,7.79,2.38,30.58
2013-6-147-Oie,2013,6,147,Oie,2.80,2.32,82.8
2013-6-148-min,2013,6,148,min,40.99,4.19,10.21
2013-6-148-Oa,2013,6,148,Oa,1.31,0.85,64.93
2013-6-148-Oie,2013,6,148,Oie,4.56,4.00,87.76
2013-6-149-min,2013,6,149,min,56.83,6.26,11.02
2013-6-149-Oa,2013,6,149,Oa,0.98,0.20,20.44
2013-6-149-Oie,2013,6,149,Oie,6.04,1.68,27.88
2013-6-150-min,2013,6,150,min,29.05,4.19,14.41
2013-6-150-Oa,2013,6,150,Oa,1.36,0.80,58.51
2013-6-150-Oie,2013,6,150,Oie,7.15,6.25,87.38
2013-6-152-min,2013,6,152,min,42.04,4.85,11.53
2013-6-152-Oa,2013,6,152,Oa,1.92,0.94,48.69
2013-6-152-Oie,2013,6,152,Oie,2.08,1.61,77.51
2013-6-154-min,2013,6,154,min,30.96,2.71,8.77
2013-6-154-Oa,2013,6,154,Oa,6.15,4.67,75.99
2013-6-154-Oie,2013,6,154,Oie,6.39,5.85,91.59
2013-6-155-min,2013,6,155,min,30.57,3.11,10.17
2013-6-155-Oa,2013,6,155,Oa,1.99,1.04,52.22
2013-6-155-Oie,2013,6,155,Oie,3.53,2.99,84.9
2013-6-156.1-min,2013,6,156,min,14.33,3.89,27.18
2013-6-156.1-Oa,2013,6,156,Oa,6.10,1.74,28.62
2013-6-156.1-Oie,2013,6,156,Oie,0.82,0.68,82.67
2013-6-156.2-min,2013,6,156,min,20.99,5.33,25.38
2013-6-156.2-Oa,2013,6,156,Oa,6.86,2.08,30.34
2013-6-156.2-Oie,2013,6,156,Oie,2.76,2.13,77.27
2013-6-157-min,2013,6,157,min,28.87,2.62,9.07
2013-6-157-Oa,2013,6,157,Oa,2.80,0.82,29.27
2013-6-157-Oie,2013,6,157,Oie,2.29,1.86,81.19
2013-6-161-min,2013,6,161,min,29.89,2.68,8.97
2013-6-161-Oa,2013,6,161,Oa,0.95,0.23,23.73
2013-6-161-Oie,2013,6,161,Oie,6.20,4.77,76.87
2013-6-163-min,2013,6,163,min,49.85,5.45,10.92
2013-6-163-Oa,2013,6,163,Oa,0.00,0.00,-9999.99
2013-6-163-Oie,2013,6,163,Oie,0.65,0.44,67.62
2013-6-164-min,2013,6,164,min,47.04,5.46,11.62
2013-6-164-Oa,2013,6,164,Oa,1.93,0.56,28.96
2013-6-164-Oie,2013,6,164,Oie,4.40,3.62,82.28
2013-6-167-min,2013,6,167,min,24.93,4.36,17.51
2013-6-167-Oa,2013,6,167,Oa,18.37,3.23,17.59
2013-6-167-Oie,2013,6,167,Oie,1.41,0.88,62.07
2013-6-168-min,2013,6,168,min,19.31,1.47,7.61
2013-6-168-Oa,2013,6,168,Oa,1.39,1.04,74.76
2013-6-168-Oie,2013,6,168,Oie,3.62,3.25,89.89
2013-6-169-min,2013,6,169,min,13.90,4.32,31.05
2013-6-169-Oa,2013,6,169,Oa,3.98,2.61,65.65
2013-6-169-Oie,2013,6,169,Oie,3.71,3.38,91.23
2013-6-16-min,2013,6,16,min,0.00,0.00,-9999.99
2013-6-16-Oa,2013,6,16,Oa,1.86,1.28,68.66
2013-6-16-Oie,2013,6,16,Oie,3.56,3.21,90.1
2013-6-171-min,2013,6,171,min,45.32,4.56,10.05
2013-6-171-Oa,2013,6,171,Oa,10.13,1.35,13.28
2013-6-171-Oie,2013,6,171,Oie,5.68,1.82,32.05
2013-6-175-min,2013,6,175,min,53.45,4.64,8.68
2013-6-175-Oa,2013,6,175,Oa,15.82,3.95,25
2013-6-175-Oie,2013,6,175,Oie,2.12,1.59,74.97
2013-6-177-min,2013,6,177,min,44.22,4.78,10.8
2013-6-177-Oa,2013,6,177,Oa,2.09,0.53,25.22
2013-6-177-Oie,2013,6,177,Oie,3.93,2.24,57.05
2013-6-178-min,2013,6,178,min,33.66,3.81,11.31
2013-6-178-Oa,2013,6,178,Oa,5.80,2.30,39.63
2013-6-178-Oie,2013,6,178,Oie,1.93,1.49,77.36
2013-6-17-min,2013,6,17,min,53.77,4.80,8.93
2013-6-17-Oa,2013,6,17,Oa,2.27,1.10,48.54
2013-6-17-Oie,2013,6,17,Oie,3.62,3.22,89.04
2013-6-180-min,2013,6,180,min,68.84,7.26,10.54
2013-6-180-Oa,2013,6,180,Oa,4.45,2.33,52.29
2013-6-180-Oie,2013,6,180,Oie,3.68,3.12,84.63
2013-6-181-min,2013,6,181,min,34.93,6.75,19.34
2013-6-181-Oa,2013,6,181,Oa,2.43,1.91,78.51
2013-6-181-Oie,2013,6,181,Oie,5.47,4.74,86.8
2013-6-182-min,2013,6,182,min,45.03,3.41,7.56
2013-6-182-Oa,2013,6,182,Oa,12.23,3.79,31
2013-6-182-Oie,2013,6,182,Oie,3.01,2.34,77.55
2013-6-184-min,2013,6,184,min,51.74,3.11,6.01
2013-6-184-Oa,2013,6,184,Oa,6.95,5.59,80.37
2013-6-184-Oie,2013,6,184,Oie,3.57,3.20,89.52
2013-6-188-min,2013,6,188,min,13.79,5.44,39.44
2013-6-188-Oa,2013,6,188,Oa,0.50,0.33,66.48
2013-6-188-Oie,2013,6,188,Oie,2.34,2.08,88.98
2013-6-190-min,2013,6,190,min,18.33,5.08,27.73
2013-6-190-Oa,2013,6,190,Oa,3.87,1.64,42.51
2013-6-190-Oie,2013,6,190,Oie,3.52,3.02,85.95
2013-6-191-min,2013,6,191,min,31.50,4.72,14.98
2013-6-191-Oa,2013,6,191,Oa,6.94,1.93,27.82
2013-6-191-Oie,2013,6,191,Oie,2.42,2.07,85.67
2013-6-192-min,2013,6,192,min,53.89,6.78,12.58
2013-6-192-Oa,2013,6,192,Oa,0.00,0.00,-9999.99
2013-6-192-Oie,2013,6,192,Oie,6.03,2.62,43.53
2013-6-195-min,2013,6,195,min,26.05,4.28,16.44
2013-6-195-Oa,2013,6,195,Oa,3.20,0.96,29.97
2013-6-195-Oie,2013,6,195,Oie,2.78,1.79,64.35
2013-6-196-min,2013,6,196,min,0.80,0.70,88.49
2013-6-196-Oa,2013,6,196,Oa,0.70,0.58,82.66
2013-6-196-Oie,2013,6,196,Oie,3.21,2.91,90.41
2013-6-198-min,2013,6,198,min,38.12,3.81,10
2013-6-198-Oa,2013,6,198,Oa,4.71,4.18,88.8
2013-6-198-Oie,2013,6,198,Oie,6.04,5.50,91.12
2013-6-199-min,2013,6,199,min,62.22,5.12,8.22
2013-6-199-Oa,2013,6,199,Oa,0.00,0.00,-9999.99
2013-6-199-Oie,2013,6,199,Oie,0.00,0.00,-9999.99
2013-6-19-min,2013,6,19,min,0.00,0.00,-9999.99
2013-6-19-Oa,2013,6,19,Oa,5.17,2.19,42.26
2013-6-19-Oie,2013,6,19,Oie,6.62,4.79,72.36
2013-6-202-min,2013,6,202,min,32.14,4.31,13.41
2013-6-202-Oa,2013,6,202,Oa,0.87,0.34,39.26
2013-6-202-Oie,2013,6,202,Oie,3.87,3.13,80.86
